"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significance","symbol","entrez","name"
"ENSG00000117519",4483.62709360346,-2.42271923947256,0.060001633393914,-40.3775547836719,0,0,"Down","CNN3","1266","calponin 3"
"ENSG00000183508",2053.88135557663,3.20195534600746,0.0724172101201564,44.215392179493,0,0,"Up","TENT5C","54855","terminal nucleotidyltransferase 5C"
"ENSG00000159176",5692.46278267679,-2.31373756481732,0.0575533778906543,-40.2015945825664,0,0,"Down","CSRP1","1465","cysteine and glycine rich protein 1"
"ENSG00000116016",4423.94665216876,-1.88801937234157,0.0431680020907648,-43.7365474633696,0,0,"Down","EPAS1","2034","endothelial PAS domain protein 1"
"ENSG00000164251",2348.7701339719,3.34450833169808,0.0690717647311965,48.4207743165931,0,0,"Up","F2RL1","2150","F2R like trypsin receptor 1"
"ENSG00000124766",2576.65254960143,2.39228794535136,0.0617086235245579,38.7674818965831,0,0,"Up","SOX4","6659","SRY-box transcription factor 4"
"ENSG00000124762",28106.1191885778,1.83225777679992,0.0388966539979052,47.1057941615902,0,0,"Up","CDKN1A","1026","cyclin dependent kinase inhibitor 1A"
"ENSG00000106366",43719.1260988373,-1.84404649925049,0.0419165121624114,-43.9933191985411,0,0,"Down","SERPINE1","5054","serpin family E member 1"
"ENSG00000188153",2944.12640623352,2.26608046206912,0.0552681384148488,41.0015702909997,0,0,"Up","COL4A5","1287","collagen type IV alpha 5 chain"
"ENSG00000122861",28007.1433373973,2.26252546557233,0.0552183431127386,40.9741643452241,0,0,"Up","PLAU","5328","plasminogen activator, urokinase"
"ENSG00000148773",1840.19727265675,-3.19605832486333,0.0757850436452056,-42.172679081983,0,0,"Down","MKI67","4288","marker of proliferation Ki-67"
"ENSG00000139289",12942.9106281238,2.0373620500178,0.046297355020716,44.0060139311668,0,0,"Up","PHLDA1","22822","pleckstrin homology like domain family A member 1"
"ENSG00000125257",6050.78726438958,1.95054949482318,0.0435953951547439,44.7420992033589,0,0,"Up","ABCC4","10257","ATP binding cassette subfamily C member 4 (PEL blood group)"
"ENSG00000211448",1884.75741158654,2.52372169361508,0.0653981374921285,38.5901157187976,0,0,"Up","DIO2","1734","iodothyronine deiodinase 2"
"ENSG00000128917",1307.34250385583,3.85825311423305,0.0865185481991939,44.5945198404173,0,0,"Up","DLL4","54567","delta like canonical Notch ligand 4"
